iter,loss_d,loss_g,r_t,d_real,d_fake,fid
500,1.3865682885944843,0.6547056563906372,0.6379375,0.5921152454651892,-0.6429333685152233,
1000,1.6192142124176025,0.3345089022470638,0.5556875,0.20586888924986124,-0.3510625540204346,
1500,1.7157658417224884,0.2724702437762171,0.5075,0.08020843247696757,-0.29893325321562586,
2000,1.735957832813263,0.21801504458487034,0.5054375,0.05649475777707994,-0.27432309818267825,471.35968385384115
2500,1.832434428691864,0.20531426015868784,0.4803125,0.02583540775999427,-0.18730626895837485,
3000,1.8672307186126709,0.19366247687488794,0.4495625,-0.013932497346773744,-0.179221493544057,
3500,1.8665469522476197,0.17920605246908963,0.471875,0.0009417976476252079,-0.16139729528129101,
4000,1.8835038323402404,0.17566257430426777,0.4493125,-0.024766780836507678,-0.1635671820845455,284.72669892800366
4500,1.863262640476227,0.18307328553311528,0.46825,-0.00664968150947243,-0.16906166303157807,
5000,1.8632393782138825,0.16095538151822983,0.4894375,0.013085314888507128,-0.15002190678194166,
5500,1.8710230612754821,0.1837971481550485,0.4545625,-0.019165537336841225,-0.1732831187620759,
6000,1.8639684879779816,0.2034836795832962,0.4574375,-0.018950402117334307,-0.18462563102692367,232.97840688650112
6500,1.8617158453464508,0.19570383751764894,0.453625,-0.014223695732653141,-0.17964999428205192,
7000,1.8533199150562287,0.18689953577704727,0.46575,-0.005870440852828324,-0.18055013806931675,
7500,1.8408503081798553,0.18927498252131045,0.482375,0.013436784483492375,-0.17661755295842885,
8000,1.8416886687278748,0.20898496196419,0.4763125,0.015795007448643445,-0.17540009410306812,183.09750784959655
8500,1.8364558000564575,0.20451692843064667,0.4768125,0.011607216151431203,-0.18303221814893186,
9000,1.8268107075691222,0.20076678431779146,0.4890625,0.019835418324917555,-0.18838922999240457,
9500,1.8261065785884858,0.21063980978354813,0.47,-0.0005122000798583031,-0.21059297519363462,
10000,1.8203976404666902,0.19658555822446944,0.4821875,0.021604681354016067,-0.19267521006241442,170.84086510397216
10500,1.8135663397312165,0.21268929959647356,0.4723125,0.011919018634594977,-0.21095863787271082,
11000,1.8065919952392577,0.21058565271273255,0.4834375,0.03470002740994096,-0.19869689783453942,
11500,1.8157575333118439,0.21276749404054135,0.4811875,0.016913858352229,-0.20499335899576546,
12000,1.8067467305660248,0.22281081379391254,0.481125,0.02218742170371115,-0.20828582181036473,159.50467702197716
12500,1.8074327540397643,0.23230990724265577,0.474,0.018048679729923606,-0.21284783651120961,
13000,1.7998482527732849,0.22461186589486898,0.483125,0.025365928521379828,-0.21301183277927338,
13500,1.801792361497879,0.23310199854522942,0.477125,0.0202690892200917,-0.2195740621238947,
14000,1.7931996510028838,0.2219130633790046,0.484875,0.027164349843747913,-0.21806343226879835,159.1483424639728
14500,1.7874046740531921,0.2340120710209012,0.487875,0.037831145226955416,-0.2176223392635584,
15000,1.7792065601348876,0.2335315663702786,0.49375,0.04211737880669534,-0.22243713286146521,
15500,1.777125809431076,0.22647811255604028,0.4936875,0.04459066153131425,-0.2199662815146148,
16000,1.7662779557704926,0.273824425438419,0.48125,0.03504997213371098,-0.2445879958383739,156.3131272848806
16500,1.764135680437088,0.2540546767041087,0.4819375,0.03981656885519624,-0.2457324639763683,
17000,1.7715018317699431,0.24828036643192172,0.4819375,0.02989615642465651,-0.2436624244339764,
17500,1.7469490933418275,0.2698732155840844,0.4918125,0.04493883685208857,-0.2571970508117229,
18000,1.754272519350052,0.23644353197142481,0.5014375,0.05416047788783908,-0.23846722248010338,153.50355183439171
18500,1.7515398488044738,0.2631538794543594,0.49525,0.05112534634023905,-0.2466254587955773,
19000,1.7465062131881715,0.26870083255693317,0.487,0.04744213384948671,-0.256492543252185,
19500,1.7342671763896942,0.2939722949694842,0.4914375,0.05765828795544803,-0.26012080617807803,
20000,1.7292995727062226,0.25793035196140407,0.5001875,0.06153851483389735,-0.2618541164379567,158.5294886948212
